Type;Outlet Name;Location;Description
Newspaper;The Birmingham News;Birmingham;Major daily newspaper covering Birmingham and surrounding areas.
Newspaper;The Huntsville Times;Huntsville;Provides news coverage for Huntsville and the Tennessee Valley region.
Newspaper;Press-Register;Mobile;Serves Mobile and the Gulf Coast area.
Newspaper;The Tuscaloosa News;Tuscaloosa;Focuses on news in Tuscaloosa and West Alabama.
Newspaper;Opelika-Auburn News;Opelika/Auburn;Covers the Opelika and Auburn regions.
Newspaper;Daily Mountain Eagle;Jasper;Based in Jasper, serving Walker County.
Television;WBMA (ABC 33/40);Birmingham;Provides news, weather, and sports for Birmingham and central Alabama.
Television;WVTM 13 (NBC);Birmingham;Offers local news coverage for Birmingham and surrounding areas.
Television;WTVM (ABC 9);Columbus, GA;Serves the Columbus, Georgia, and East Alabama regions.
Television;CBS 42 (WIAT);Birmingham;Covers news across central Alabama, including Birmingham and Tuscaloosa.
Television;WKRG News 5;Mobile;Focuses on news in Mobile and the Gulf Coast area.
Radio;WBHM 90.3 FM;Birmingham;NPR affiliate providing news and cultural programming for Birmingham and central Alabama.
Radio;WUAL 91.5 FM;Tuscaloosa;Part of Alabama Public Radio, serving Tuscaloosa and West Alabama.
Digital;AL.com;Statewide;Alabama's largest news website, offering comprehensive coverage of state and local news.
Digital;Yellowhammer News;Statewide;Focuses on Alabama politics, business, and culture.
Digital;1819 News;Statewide;Conservative news outlet covering Alabama-focused news and opinion pieces.
Newspaper;Anchorage Daily News;Anchorage;Alaska's most widely read newspaper, offering statewide news coverage. Anchorage Daily News
Newspaper;Juneau Empire;Juneau;Provides news coverage for Juneau and Southeast Alaska. Wikipedia
Newspaper;Fairbanks Daily News-Miner;Fairbanks;Covers news in Fairbanks and the Interior region.
Newspaper;Ketchikan Daily News;Ketchikan;Serves Ketchikan and surrounding communities.
Newspaper;Peninsula Clarion;Kenai;Focuses on news in the Kenai Peninsula area.
Newspaper;Chilkat Valley News;Haines;Weekly newspaper serving the Chilkat Valley and Haines Borough. Wikipedia
Television;KTUU-TV (NBC);Anchorage;Provides news, weather, and sports for Anchorage and Southcentral Alaska. Wikipedia
Television;KAUU (CBS/MyNetworkTV);Anchorage;Offers local news coverage and syndicated programming. Wikipedia
Television;KTVA (CBS);Anchorage;Former CBS affiliate, now part of Alaska's News Source.
